provider_id,provider_name,city,state,latitude,longitude
121308,Kula Hospital,Kula,HI,20.7909697,-156.3269338
131328,Bonner General Hospital,Sandpoint,ID,48.2765903,-116.5532476
140184,Heartland Regional Medical Center,Marion,IL,37.7306054,-88.9331256
140286,Kishwaukee Community Hospital,Dekalb,IL,41.9294736,-88.7503647
141351,Clay County Hospital,Flora,IL,38.6689364,-88.4856042
161377,Mercy Medical Center-Centerville,Centerville,IA,40.7290565,-92.8738196
171336,Ness County Hospital District #2,Ness City,KS,38.4527935,-99.9065136
171344,Wilson Medical Center,Neodesha,KS,37.4183929,-95.6802581
171372,Scott County Hospital,Scott City,KS,38.4825192,-100.9070949
180018,St Claire Regional Medical Center,Morehead,KY,38.1839705,-83.4326841
180053,Fleming County Hospital,Flemingsburg,KY,38.4222995,-83.7338076
181319,Breckinridge Memorial Hospital,Hardinsburg,KY,37.7800591,-86.4605337
190015,"North Oaks Medical Center, Llc",Hammond,LA,30.5043583,-90.4611995
190145,Lasalle General Hospital,Jena,LA,31.6832271,-92.1337448
190177,Lakeview Regional Medical Center,Covington,LA,30.4754702,-90.1009108
20003F,Togus Va Medical Center,Augusta                       ,ME,44.3106241,-69.7794897
201311,Down East Community Hospital,Machias,ME,44.7150789,-67.461376
240206,Red Lake Hospital,Redlake,MN,47.876346,-95.0169401
241321,Essentia Health Holy Trinity Hospital,Graceville,MN,45.5688411,-96.4337288
241333,Mayo Clinic Health System - St James,St James,MN,43.9822222,-94.6280556
241377,St Francis Healthcare Campus,Breckenridge,MN,46.2635701,-96.588129
250020,Webster General Hospital/Swing Bed,Eupora,MS,33.5406769,-89.2670124
250058,South Central Reg Med Ctr,Laurel,MS,31.6940509,-89.1306124
250060,Jefferson County Hospital,Fayette,MS,31.7115534,-91.0606607
250122,Natchez Community Hospital/Swing Bed,Natchez,MS,31.5604442,-91.403171
251330,Franklin County Memorial Hospital,Meadville                     ,MS,31.4723928,-90.8967682
251332,Pioneer Health Services Of Newton,Newton,MS,32.3212554,-89.1633929
260011,St Marys Health Center,Jefferson City,MO,38.5767017,-92.1735164
260141,University Of Missouri Health Care,Columbia,MO,38.9517053,-92.3340724
261318,Salem Memorial District Hospital,Salem,MO,37.6455993,-91.5359808
270074,P H S Indian Hospital At Browning - Blackfeet,Browning,MT,48.5569174,-113.0134175
271339,P H S Indian Hospital Crow / Northern Cheyenne,Crow Agency,MT,45.6013889,-107.4597222
290020,Nye Regional Medical Center,Tonopah,NV,38.069211,-117.2305861
291312,Grover C Dils Medical Center,Caliente                      ,NV,37.6149648,-114.5119378
320058,Mescalero Phs Indian Hospital,Mescalero,NM,33.1575854,-105.7741541
320062,Crownpoint Healthcare Facility,Crownpoint,NM,35.6780769,-108.1511785
33013F,Canandaigua Va Medical Center,Canandaigua                   ,NY,42.887535,-77.2816984
340036,Franklin Regional Medical Center,Louisburg,NC,36.0990393,-78.301106
340085,Thomasville Medical Center,Thomasville,NC,35.8826369,-80.0819879
340090,Johnston Memorial Hospital,Smithfield,NC,35.5084935,-78.3394455
340127,Granville Medical Center,Oxford,NC,36.3107004,-78.5908345
340132,Maria Parham Medical Center,Henderson,NC,36.3295905,-78.3991638
340156,Cherokee Indian Hospital Authority,Cherokee,NC,35.4770574,-83.3205859
350063,P H S Indian Hosp At Belcourt-Quentin N Burdick,Belcourt,ND,48.8391712,-99.7448688
351305,Kenmare Community Hospital,Kenmare                       ,ND,48.6747476,-102.0826636
351312,Northwood Deaconess Health Center,Northwood,ND,47.7341547,-97.5667543
351318,Carrington Health Center,Carrington,ND,47.4497201,-99.1262234
351319,Pembina County Memorial Hospital,Cavalier,ND,48.7938813,-97.6223098
371301,Prague Community Hospital,Prague,OK,35.4867368,-96.6850174
371311,Jefferson County Hospital,Waurika,OK,34.1670371,-97.997536
371313,Kingfisher Regional Hospital,Kingfisher,OK,35.861432,-97.9317203
390307,Edgewood Surgical Hospital,Transfer,PA,41.3284543,-80.432859
400007,Ryder Memorial Hospital Inc,Humacao,PR,18.1496828,-65.8273847
400018,Mennonite General Hospital Inc,Aibonito,PR,18.1527366,-66.2554458
400024,Clinica Espanola Inc,Mayaguez,PR,18.2013463,-67.1451517
400061,University District Hospital,Rio Piedras,PR,18.397448,-66.049888
400079,Hosp Comunitario Buen Samaritano,Aguadilla,PR,18.4274454,-67.1540698
400104,Hospital San Juan Bautista Medical Center,Caguas,PR,18.2341217,-66.0484989
400114,Manati Medical Center Dr Otero Lopez,Manati,PR,18.430958,-66.484242
400115,Centro Medico Wilma N Vazquez,Vega Baja,PR,18.4508669,-66.4211979
400118,"Doctors' Center Hospital, Inc",Manati,PR,18.430958,-66.484242
400126,Hospital Metropolitano San German,San German,PR,18.0808333,-67.0408333
420011,Cannon Memorial Hospital,Pickens,SC,34.8834489,-82.7073573
420020,Georgetown Memorial Hospital,Georgetown,SC,33.376834,-79.2944964
420038,Laurens County Healthcare System,Clinton,SC,34.4726276,-81.8806562
420048,Kershaw Health,Camden,SC,34.2465393,-80.6070237
420051,Mcleod Regional Medical Center-Pee Dee,Florence,SC,34.1954331,-79.7625625
420069,Clarendon Memorial Hospital,Manning,SC,33.6951627,-80.2109134
420083,Mary Black Memorial Hospital,Spartanburg,SC,34.9495672,-81.9320482
420091,Carolinas Hospital System,Florence,SC,34.1954331,-79.7625625
431317,Landmann-Jungman Memorial Hospital - Cah,Scotland,SD,43.1497151,-97.7175669
