provider_id,provider_name,city,state,latitude,longitude
50701,Southwest Healthcare System,Murrieta,CA,33.56,-117.18
50704,Mission Community Hospital - Panorama,Panorama City,CA,34.22,-118.46
50709,Desert Valley Hospital,Victorville,CA,34.47,-117.30
50724,Bakersfield Heart Hospital,Bakersfield,CA,35.38,-119.04
50727,Community Hospital Of Long Beach,Long Beach,CA,33.79,-118.15
30119,Mercy Gilbert Medical Center,Gilbert,AZ,33.29,-111.75
50039,Enloe Medical Center,Chico,CA,39.74,-121.85
310070,Saint Peter's University Hospital,New Brunswick,NJ,40.50,-74.46
50732,Fresno Heart And Surgical Hospital,Fresno,CA,36.86,-119.79
50735,Whittier Hospital Medical Center,Whittier,CA,33.95,-118.00
50736,Monterey Park Hospital,Monterey Park,CA,34.05,-118.14
50040,Lac/Olive View-Ucla Medical Center,Sylmar,CA,34.33,-118.45
50737,Garfield Medical Center,Monterey Park,CA,34.07,-118.12
50738,Greater El Monte Community Hospital,South El Monte,CA,34.05,-118.04
50739,Centinela Hospital Medical Center,Inglewood,CA,33.95,-118.35
50740,Marina Del Rey Hospital,Marina Del Rey,CA,33.99,-118.45
50742,Olympia Medical Center,Los Angeles,CA,34.06,-118.36
50744,Western Medical Center Hosp Anaheim,Anaheim,CA,33.82,-117.91
50745,Chapman Medical Center,Orange,CA,33.79,-117.83
300014,Frisbie Memorial Hospital,Rochester,NH,43.30,-70.96
50746,Western Medical Center Santa Ana,Santa Ana,CA,33.75,-117.83
50747,Coastal Communities Hospital,Santa Ana,CA,33.71,-117.89
310118,Meadowlands Hospital Medical Center,Secaucus,NJ,40.79,-74.08
50752,Brotman Medical Center,Culver City,CA,34.02,-118.40
50755,Sherman Oaks Hospital,Sherman Oaks,CA,34.16,-118.45
50757,Alvarado Hospital Medical Center,San Diego,CA,32.78,-117.06
310073,Jersey Shore University Medical Center,Neptune,NJ,40.21,-74.04
50758,Montclair Hospital Medical Center,Montclair,CA,34.08,-117.70
50016,Arroyo Grande Community Hospital,Arroyo Grande,CA,35.11,-120.59
310092,Capital Health System-Fuld Campus,Trenton,NJ,40.24,-74.75
300017,Parkland Medical Center,Derry,NH,42.88,-71.32
50042,St Elizabeth Community Hospital,Red Bluff,CA,40.15,-122.22
310064,Atlanticare Regional Medical Center - City Div,Atlantic City,NJ,39.36,-74.43
300018,Wentworth-Douglass Hospital,Dover,NH,43.21,-70.88
50043,Alta Bates Summit Medical Center,Oakland,CA,37.82,-122.26
50038,Santa Clara Valley Medical Center,San Jose,CA,37.32,-121.93
50688,Saint Louise Regional Hospital,Gilroy,CA,37.04,-121.57
50689,San Ramon Regional Medical Ctr,San Ramon,CA,37.78,-121.96
