drg,type,state,status,epcost
190,DM,AK,pre,1935.844031
190,DM,AK,post,0
190,DM,AK,during,4780.68722
190,DM,AL,pre,2194.089538
190,DM,AL,post,3987.397059
190,DM,AL,during,7178.642004
190,DM,AR,pre,4542.399003
190,DM,AR,post,895.0760562
190,DM,AR,during,1531.488128
190,DM,AZ,pre,447.1280585
190,DM,AZ,post,0
190,DM,AZ,during,0
190,DM,CA,pre,1126.468776
190,DM,CA,post,0
190,DM,CA,during,1942.489155
190,DM,CO,pre,0
190,DM,CO,post,0
190,DM,CO,during,0
190,DM,CT,pre,2386.93959
190,DM,CT,post,0
190,DM,CT,during,0
190,DM,DC,pre,741.490036
190,DM,DC,post,1167.207998
190,DM,DC,during,0
190,DM,DE,pre,3409.153362
190,DM,DE,post,4487.786172
190,DM,DE,during,2835.898397
190,DM,FL,pre,0
190,DM,FL,post,2999.650274
190,DM,FL,during,3860.565415
190,DM,GA,pre,0
190,DM,GA,post,1685.374107
190,DM,GA,during,1131.792229
190,DM,HI,pre,567.7215909
190,DM,HI,post,10.17611526
190,DM,HI,during,1934.647377
190,DM,IA,pre,6954.387056
190,DM,IA,post,3585.656591
190,DM,IA,during,7403.24619
190,DM,ID,pre,78.31065656
190,DM,ID,post,0
190,DM,ID,during,0
190,DM,IL,pre,0
190,DM,IL,post,7571.384008
190,DM,IL,during,5869.679998
190,DM,IN,pre,1548.755301
190,DM,IN,post,4941.3887
190,DM,IN,during,0
190,DM,KS,pre,1327.787062
190,DM,KS,post,1319.920831
190,DM,KS,during,2262.855845
190,DM,KY,pre,35.92729653
190,DM,KY,post,0
190,DM,KY,during,7882.471919
190,DM,LA,pre,0
190,DM,LA,post,5575.854885
190,DM,LA,during,0
190,DM,MA,pre,5430.597698
190,DM,MA,post,2156.178209
190,DM,MA,during,493.8405982
190,DM,ME,pre,3291.822677
190,DM,ME,post,0
190,DM,ME,during,2374.313174
190,DM,MI,pre,0
190,DM,MI,post,685.4250392
190,DM,MI,during,0
190,DM,MN,pre,1851.888391
190,DM,MN,post,0
190,DM,MN,during,0
190,DM,MO,pre,4231.228713
190,DM,MO,post,0
190,DM,MO,during,6415.337315
190,DM,MS,pre,2420.688315
190,DM,MS,post,379.7217935
190,DM,MS,during,7871.215267
190,DM,MT,pre,0
190,DM,MT,post,6804.80697
190,DM,MT,during,0
190,DM,NC,pre,2774.07819
190,DM,NC,post,842.600839
190,DM,NC,during,0
190,DM,ND,pre,5664.140405
190,DM,ND,post,0
190,DM,ND,during,2331.549633
190,DM,NE,pre,3252.351576
190,DM,NE,post,1449.003117
190,DM,NE,during,2374.301516
190,DM,NH,pre,0
190,DM,NH,post,5108.717871
190,DM,NH,during,5079.36095
190,DM,NJ,pre,3992.996303
190,DM,NJ,post,2046.300581
190,DM,NJ,during,0
190,DM,NM,pre,2420.999518
190,DM,NM,post,0
190,DM,NM,during,10700.74109
190,DM,NV,pre,0
190,DM,NV,post,0
190,DM,NV,during,3976.144569
190,DM,NY,pre,202.7779349
190,DM,NY,post,297.5212463
190,DM,NY,during,1592.980619
190,DM,OH,pre,0
190,DM,OH,post,0
190,DM,OH,during,0
190,DM,OK,pre,4218.196431
190,DM,OK,post,0
190,DM,OK,during,0
190,DM,OR,pre,2936.382046
190,DM,OR,post,2651.307519
190,DM,OR,during,6263.222065
190,DM,PA,pre,0
190,DM,PA,post,2821.920497
190,DM,PA,during,7438.677795
190,DM,RI,pre,2197.541133
190,DM,RI,post,7205.681411
190,DM,RI,during,3613.525349
190,DM,SC,pre,0
190,DM,SC,post,1430.220498
190,DM,SC,during,0
190,DM,SD,pre,4206.125392
190,DM,SD,post,6.472755731
190,DM,SD,during,0
190,DM,TN,pre,0
190,DM,TN,post,0
190,DM,TN,during,0
190,DM,TX,pre,2956.675599
190,DM,TX,post,1039.775943
190,DM,TX,during,0
190,DM,UT,pre,1402.936043
190,DM,UT,post,4940.422099
190,DM,UT,during,0
190,DM,VA,pre,6041.969785
190,DM,VA,post,2324.906296
190,DM,VA,during,1101.274092
190,DM,VT,pre,0
190,DM,VT,post,1195.383327
190,DM,VT,during,7379.231051
190,DM,WA,pre,2528.091745
190,DM,WA,post,543.6069999
190,DM,WA,during,0
190,DM,WI,pre,0
190,DM,WI,post,3298.524486
190,DM,WI,during,2548.860804
190,DM,WV,pre,278.7836505
190,DM,WV,post,0
190,DM,WV,during,152.5054387
190,DM,WY,pre,3692.747283
190,DM,WY,post,3230.224757
190,DM,WY,during,6424.59292
190,HH,AK,pre,0.152072141
190,HH,AK,post,3549.684155
190,HH,AK,during,0
190,HH,AL,pre,3191.223732
190,HH,AL,post,3126.766578
190,HH,AL,during,1125.300718
190,HH,AR,pre,3690.560788
190,HH,AR,post,0
190,HH,AR,during,5374.747937
190,HH,AZ,pre,0
190,HH,AZ,post,2233.442805
190,HH,AZ,during,2853.617112
190,HH,CA,pre,163.5502112
190,HH,CA,post,3049.905804
190,HH,CA,during,0
190,HH,CO,pre,1502.980179
190,HH,CO,post,0
190,HH,CO,during,0
190,HH,CT,pre,2284.713884
190,HH,CT,post,0
190,HH,CT,during,0
190,HH,DC,pre,4160.13133
190,HH,DC,post,6068.032547
190,HH,DC,during,1524.308632
190,HH,DE,pre,5470.819078
190,HH,DE,post,2360.871444
190,HH,DE,during,0
190,HH,FL,pre,0
190,HH,FL,post,2835.696135
190,HH,FL,during,1988.535672
190,HH,GA,pre,0
190,HH,GA,post,36.78289702
190,HH,GA,during,3011.387673
190,HH,HI,pre,863.560531
190,HH,HI,post,2719.628983
190,HH,HI,during,2912.363693
190,HH,IA,pre,1443.073087
190,HH,IA,post,0
190,HH,IA,during,2158.29308
190,HH,ID,pre,2301.80713
190,HH,ID,post,0
190,HH,ID,during,1925.15362
190,HH,IL,pre,0
190,HH,IL,post,0
190,HH,IL,during,0
190,HH,IN,pre,0
190,HH,IN,post,2940.792807
190,HH,IN,during,2321.201135
190,HH,KS,pre,1969.591634
190,HH,KS,post,0
190,HH,KS,during,2900.452513
190,HH,KY,pre,2396.940527
190,HH,KY,post,3920.060438
190,HH,KY,during,1873.158369
190,HH,LA,pre,2157.080748
190,HH,LA,post,5924.182188
190,HH,LA,during,4211.702874
190,HH,MA,pre,2713.671957
190,HH,MA,post,0
190,HH,MA,during,408.5997666
190,HH,ME,pre,0
190,HH,ME,post,0
190,HH,ME,during,4513.425058
190,HH,MI,pre,3549.476094
190,HH,MI,post,8805.293443
190,HH,MI,during,2810.98898
190,HH,MN,pre,1854.012408
190,HH,MN,post,0
190,HH,MN,during,2544.568169
190,HH,MO,pre,5458.824794
190,HH,MO,post,47.17073921
190,HH,MO,during,2585.844233
190,HH,MS,pre,870.7663424
190,HH,MS,post,1547.114762
190,HH,MS,during,0
190,HH,MT,pre,0.839977525
190,HH,MT,post,509.655457
190,HH,MT,during,5012.981776
190,HH,NC,pre,2309.914251
190,HH,NC,post,0
190,HH,NC,during,2199.263246
190,HH,ND,pre,0
190,HH,ND,post,0
190,HH,ND,during,0
190,HH,NE,pre,0
190,HH,NE,post,3505.796793
190,HH,NE,during,1973.852562
190,HH,NH,pre,0
190,HH,NH,post,0
190,HH,NH,during,4972.984219
190,HH,NJ,pre,0
190,HH,NJ,post,0
190,HH,NJ,during,2920.411033
190,HH,NM,pre,1396.238012
190,HH,NM,post,1189.837261
190,HH,NM,during,0
190,HH,NV,pre,0
190,HH,NV,post,2194.075791
190,HH,NV,during,8104.361141
190,HH,NY,pre,1898.317755
190,HH,NY,post,3890.480339
190,HH,NY,during,0
190,HH,OH,pre,1760.203856
190,HH,OH,post,1293.311764
190,HH,OH,during,0
190,HH,OK,pre,0
190,HH,OK,post,2978.019442
190,HH,OK,during,0
190,HH,OR,pre,0
190,HH,OR,post,488.0845614
190,HH,OR,during,5532.647336
190,HH,PA,pre,7118.865244
190,HH,PA,post,0
190,HH,PA,during,3464.620353
190,HH,RI,pre,1223.09844
190,HH,RI,post,4601.997647
190,HH,RI,during,548.708211
190,HH,SC,pre,0
190,HH,SC,post,4923.750688
190,HH,SC,during,3245.412762
190,HH,SD,pre,1904.775461
190,HH,SD,post,0
190,HH,SD,during,0
190,HH,TN,pre,0
190,HH,TN,post,4681.046409
190,HH,TN,during,2689.818855
190,HH,TX,pre,3835.771106
190,HH,TX,post,3037.511525
190,HH,TX,during,2718.949538
190,HH,UT,pre,0
190,HH,UT,post,606.9468414
190,HH,UT,during,0
190,HH,VA,pre,1307.10382
190,HH,VA,post,3555.16763
190,HH,VA,during,0
190,HH,VT,pre,1403.637041
190,HH,VT,post,0
190,HH,VT,during,1197.116802
190,HH,WA,pre,7731.583206
190,HH,WA,post,2616.766114
190,HH,WA,during,0
190,HH,WI,pre,2511.061127
190,HH,WI,post,0
190,HH,WI,during,3509.612291
190,HH,WV,pre,0
190,HH,WV,post,2759.185407
190,HH,WV,during,0
190,HH,WY,pre,28.76460552
190,HH,WY,post,3720.394886
190,HH,WY,during,0
190,HS,AL,pre,0
190,HS,AL,post,4174.623389
190,HS,AL,during,113.982222
190,HS,AR,pre,0
190,HS,AR,post,5458.055788
190,HS,AR,during,0
190,HS,AZ,pre,0
190,HS,AZ,post,1419.626119
190,HS,AZ,during,3708.114338
190,HS,CA,pre,5961.249575
190,HS,CA,post,0
190,HS,CA,during,2258.652493
190,HS,CO,pre,1471.429856
190,HS,CO,post,4193.266362
190,HS,CO,during,984.3216287
