drg,type,hrrnum,status,epcost
61,DM,5,pre,0
61,DM,5,post,2456.177584
61,DM,5,during,0
61,DM,9,pre,0
61,DM,9,post,4158.890169
61,DM,9,during,442.7164413
61,DM,15,pre,1265.695349
61,DM,15,post,4611.032472
61,DM,15,during,2536.314449
61,DM,31,pre,3369.07628
61,DM,31,post,2824.050742
61,DM,31,during,4627.868185
61,DM,56,pre,4707.462745
61,DM,56,post,1785.804411
61,DM,56,during,3632.313405
61,DM,65,pre,1777.36903
61,DM,65,post,0
61,DM,65,during,4655.013433
61,DM,73,pre,0
61,DM,73,post,87.75659324
61,DM,73,during,0
61,DM,77,pre,5968.218511
61,DM,77,post,0
61,DM,77,during,3248.539484
61,DM,79,pre,0
61,DM,79,post,4489.423996
61,DM,79,during,6459.358495
61,DM,80,pre,6252.583357
61,DM,80,post,3871.563485
61,DM,80,during,1532.590498
61,DM,82,pre,2414.69499
61,DM,82,post,4168.188171
61,DM,82,during,0
61,DM,96,pre,7338.791596
61,DM,96,post,9081.17035
61,DM,96,during,6926.987787
61,DM,110,pre,2746.063482
61,DM,110,post,1595.829854
61,DM,110,during,2500.794222
61,DM,112,pre,1684.485203
61,DM,112,post,0
61,DM,112,during,0
61,DM,113,pre,1619.672123
61,DM,113,post,1844.60083
61,DM,113,during,0
61,DM,127,pre,1085.833824
61,DM,127,post,1227.77835
61,DM,127,during,3636.507407
61,DM,129,pre,0
61,DM,129,post,0
61,DM,129,during,0
61,DM,130,pre,4774.340976
61,DM,130,post,325.493454
61,DM,130,during,3963.263552
61,DM,139,pre,0
61,DM,139,post,0
61,DM,139,during,2397.133261
61,DM,140,pre,0
61,DM,140,post,0
61,DM,140,during,5618.251795
61,DM,144,pre,2428.894705
61,DM,144,post,4162.156535
61,DM,144,during,2585.06828
61,DM,150,pre,5926.576273
61,DM,150,post,2813.326185
61,DM,150,during,393.3759758
61,DM,152,pre,0
61,DM,152,post,2328.955705
61,DM,152,during,1531.641647
61,DM,155,pre,3940.773141
61,DM,155,post,0
61,DM,155,during,969.6488054
61,DM,156,pre,1601.849503
61,DM,156,post,2504.775463
61,DM,156,during,1156.984667
61,DM,163,pre,3584.689201
61,DM,163,post,0
61,DM,163,during,0
61,DM,166,pre,7257.754057
61,DM,166,post,1653.899658
61,DM,166,during,0
61,DM,183,pre,1009.471727
61,DM,183,post,4339.492845
61,DM,183,during,1284.031412
61,DM,186,pre,1898.869436
61,DM,186,post,2795.147579
61,DM,186,during,1638.110883
61,DM,187,pre,6092.918914
61,DM,187,post,7319.669419
61,DM,187,during,1592.382607
61,DM,197,pre,0
61,DM,197,post,0
61,DM,197,during,895.9396763
61,DM,218,pre,1575.977511
61,DM,218,post,0
61,DM,218,during,3606.544039
61,DM,230,pre,0
61,DM,230,post,4528.669249
61,DM,230,during,0
61,DM,232,pre,0
61,DM,232,post,1845.227737
61,DM,232,during,6263.09955
61,DM,234,pre,2577.439993
61,DM,234,post,2039.355718
61,DM,234,during,0
61,DM,236,pre,0
61,DM,236,post,1742.599349
61,DM,236,during,2894.808021
61,DM,248,pre,1286.675776
61,DM,248,post,2156.474558
61,DM,248,during,3804.573951
61,DM,268,pre,946.8603377
61,DM,268,post,4134.153605
61,DM,268,during,4325.341849
61,DM,270,pre,1205.632734
61,DM,270,post,2464.964976
61,DM,270,during,2898.287381
61,DM,273,pre,4445.489859
61,DM,273,post,1929.080661
61,DM,273,during,0
61,DM,279,pre,0
61,DM,279,post,1691.882083
61,DM,279,during,7100.745936
61,DM,283,pre,0
61,DM,283,post,1379.560271
61,DM,283,during,586.0530104
61,DM,288,pre,1427.341127
61,DM,288,post,5278.735933
61,DM,288,during,0
61,DM,289,pre,1852.677642
61,DM,289,post,2549.340866
61,DM,289,during,1725.702682
61,DM,297,pre,2457.722946
61,DM,297,post,108.2599995
61,DM,297,during,3384.498955
61,DM,299,pre,0
61,DM,299,post,4526.17575
61,DM,299,during,9802.375704
61,DM,300,pre,3121.508631
61,DM,300,post,6341.079124
61,DM,300,during,6474.045805
61,DM,301,pre,2463.660118
61,DM,301,post,5173.847564
61,DM,301,during,2009.384408
61,DM,303,pre,0
61,DM,303,post,3414.782311
61,DM,303,during,0
61,DM,307,pre,2720.002896
61,DM,307,post,0
61,DM,307,during,49.13311332
61,DM,308,pre,1858.044802
61,DM,308,post,1705.360851
61,DM,308,during,6676.394324
61,DM,311,pre,0
61,DM,311,post,3066.604698
61,DM,311,during,3513.106997
61,DM,312,pre,0
61,DM,312,post,0
61,DM,312,during,1442.443633
61,DM,318,pre,0
61,DM,318,post,4654.49403
61,DM,318,during,0
61,DM,320,pre,5662.141473
61,DM,320,post,417.0608511
61,DM,320,during,0
61,DM,326,pre,7302.983072
61,DM,326,post,3990.378333
61,DM,326,during,3514.046125
61,DM,332,pre,953.8760793
61,DM,332,post,1288.438639
61,DM,332,during,3680.590321
61,DM,339,pre,0
61,DM,339,post,0
61,DM,339,during,545.8349799
61,DM,344,pre,4086.500073
61,DM,344,post,700.8130166
61,DM,344,during,7629.782028
61,DM,346,pre,2946.897177
61,DM,346,post,0
61,DM,346,during,0
61,DM,351,pre,0
61,DM,351,post,1068.898336
61,DM,351,during,0
61,DM,356,pre,2329.679231
61,DM,356,post,0
61,DM,356,during,4686.293262
61,DM,358,pre,2481.653843
61,DM,358,post,2955.585817
61,DM,358,during,2504.013887
61,DM,365,pre,3082.197507
61,DM,365,post,3077.045529
61,DM,365,during,3439.781101
61,DM,368,pre,3948.008883
61,DM,368,post,1280.573594
61,DM,368,during,3045.028237
61,DM,369,pre,1086.242588
61,DM,369,post,1705.835926
61,DM,369,during,1779.855584
61,DM,379,pre,3987.061227
61,DM,379,post,526.1151887
61,DM,379,during,6812.805364
61,DM,391,pre,0
61,DM,391,post,2652.588872
61,DM,391,during,402.6896477
61,DM,393,pre,3858.126512
61,DM,393,post,0
61,DM,393,during,3666.917384
61,DM,396,pre,270.1998213
61,DM,396,post,1489.751357
61,DM,396,during,1365.257359
61,DM,397,pre,2583.147343
61,DM,397,post,7052.14991
61,DM,397,during,0
61,DM,399,pre,677.4110359
61,DM,399,post,7694.655432
61,DM,399,during,731.2127491
61,DM,402,pre,1458.045791
61,DM,402,post,4203.997399
61,DM,402,during,4950.464739
61,DM,412,pre,1370.486559
61,DM,412,post,8315.381209
61,DM,412,during,0
61,DM,416,pre,0
61,DM,416,post,4741.393912
61,DM,416,during,2541.756739
61,DM,426,pre,0
61,DM,426,post,3531.03381
61,DM,426,during,0
61,DM,428,pre,81.94833584
61,DM,428,post,586.2085223
61,DM,428,during,0
61,DM,439,pre,1458.5294
61,DM,439,post,1303.963873
61,DM,439,during,462.5849392
61,DM,440,pre,0
61,DM,440,post,874.9571924
61,DM,440,during,2494.641733
61,DM,441,pre,5158.436733
61,DM,441,post,0
61,DM,441,during,681.1772372
61,DM,442,pre,0
