provider,DRG_CD,_TYPE_,_FREQ_,ip_type_sum,n_claims,pb_type_sum,sn_type_sum,proc227_Sum,proc232_Sum,proc34_Sum,proc48_Sum,,,,,,,,,,
10011,61,3,1,0,30,14,0,12,0,0,0,,9.795581674,1.136544148,36.31934456,24.17044928,0.330736107,10.88817626,0.039323422,0.000537671,0.00707405
10023,61,3,3,1,1,45,1,13,0,0,0,,11.28991305,0.233715501,18.19360004,12.72536707,0.489765959,7.049149993,0.152175211,0.014959363,0.086480748
10033,61,3,1,1,1,0,0,0,0,0,0,,,,,,,,,,
10039,61,3,1,1,1,26,0,25,0,0,0,,,,,,,,,,
10055,61,3,1,1,1,56,0,15,0,0,0,,,#NAME?,,,,,,,
10092,61,3,1,1,0,38,0,3,0,0,0,,,,,,,,,,
20008,61,3,1,1,1,28,0,17,0,0,0,,,,,,,,,,
30011,61,3,1,1,1,33,0,9,0,0,0,,,,,,,,,,
30023,61,3,1,1,1,18,0,23,0,0,0,,,,,,,,,,
30030,61,3,1,1,1,29,0,18,0,0,0,,,,,,,,,,
40071,61,3,1,1,0,24,0,0,0,0,0,,,,,,,,,,
50006,61,3,1,0,0,40,0,14,0,0,0,,,,,,,,,,
50007,61,3,3,1,0,26,0,21,0,0,0,,,,,,,,,,
50038,61,3,1,1,1,20,0,11,0,0,0,,,,,,,,,,
50047,61,3,1,1,0,24,1,18,0,0,0,,,,,,,,,,
50071,61,3,1,1,1,7,0,16,0,0,0,,,,,,,,,,
50084,61,3,2,0,1,30,0,0,0,0,0,,,,,,,,,,
50108,61,3,1,1,1,5,0,11,0,0,0,,,,,,,,,,
50112,61,3,1,0,1,27,0,2,0,0,0,,,,,,,,,,
50116,61,3,1,1,1,26,0,0,0,0,0,,,,,,,,,,
50125,61,3,2,1,1,25,0,7,0,0,0,,,,,,,,,,
50128,61,3,3,1,0,27,0,3,0,0,0,,,,,,,,,,
50133,61,3,2,0,0,21,1,2,0,0,0,,,,,,,,,,
50136,61,3,1,1,1,15,0,7,0,0,0,,,,,,,,,,
50152,61,3,1,1,1,41,0,3,0,0,0,,,,,,,,,,
50153,61,3,1,1,1,34,0,7,0,0,0,,,,,,,,,,
50180,61,3,2,0,1,12,0,10,0,0,0,,,,,,,,,,
50191,61,3,1,1,0,47,0,10,0,0,0,,,,,,,,,,
50231,61,3,1,1,1,40,0,10,0,0,0,,,,,,,,,,
50238,61,3,1,1,1,38,0,0,0,0,0,,,,,,,,,,
50239,61,3,2,1,1,19,0,0,0,0,0,,,,,,,,,,
50262,61,3,1,1,0,38,0,14,0,0,0,,,,,,,,,,
50280,61,3,1,0,1,4,0,3,0,0,0,,,,,,,,,,
50308,61,3,3,0,1,41,0,23,0,0,0,,,,,,,,,,
50324,61,3,1,0,1,34,0,7,0,0,0,,,,,,,,,,
50334,61,3,1,1,1,33,0,22,0,0,0,,,,,,,,,,
50380,61,3,2,1,1,43,0,17,0,0,0,,,,,,,,,,
50396,61,3,1,0,1,7,1,2,0,0,0,,,,,,,,,,
50424,61,3,1,1,1,21,0,7,0,0,0,,,,,,,,,,
50425,61,3,1,1,1,24,0,4,0,0,0,,,,,,,,,,
50455,61,3,1,1,1,16,1,7,0,0,0,,,,,,,,,,
50488,61,3,1,1,1,12,0,0,0,0,0,,,,,,,,,,
50523,61,3,1,1,1,23,1,11,0,0,0,,,,,,,,,,
50549,61,3,1,1,1,19,0,5,0,0,0,,,,,,,,,,
50603,61,3,1,1,1,8,0,18,0,0,0,,,,,,,,,,
50625,61,3,1,1,1,20,1,26,0,0,0,,,,,,,,,,
60010,61,3,1,1,1,25,0,14,0,0,0,,,,,,,,,,
70001,61,3,1,1,0,43,0,20,0,0,0,,,,,,,,,,
70002,61,3,1,1,1,10,0,12,0,0,0,,,,,,,,,,
70022,61,3,1,1,1,27,1,1,0,0,0,,,,,,,,,,
70025,61,3,1,1,1,11,1,6,0,0,0,,,,,,,,,,
70029,61,3,1,1,1,32,0,21,0,0,0,,,,,,,,,,
80001,61,3,2,1,0,11,0,8,0,0,0,,,,,,,,,,
90006,61,3,1,1,1,37,0,14,0,0,0,,,,,,,,,,
100001,61,3,1,0,1,40,0,7,0,0,0,,,,,,,,,,
100007,61,3,1,0,0,18,0,11,0,0,0,,,,,,,,,,
100012,61,3,1,1,0,26,0,20,0,0,0,,,,,,,,,,
100018,61,3,1,1,1,36,0,5,0,0,0,,,,,,,,,,
100035,61,3,1,1,0,19,0,5,0,0,0,,,,,,,,,,
100047,61,3,1,0,1,21,0,5,0,0,0,,,,,,,,,,
100067,61,3,2,1,0,17,0,12,0,0,0,,,,,,,,,,
100087,61,3,1,0,1,10,0,20,0,0,0,,,,,,,,,,
100093,61,3,1,1,0,10,0,12,0,0,0,,,,,,,,,,
100113,61,3,1,0,1,9,0,12,0,0,0,,,,,,,,,,
100128,61,3,2,1,0,31,0,1,0,0,0,,,,,,,,,,
